domain,module,intent,targetAudience,criticality,status,owner,sourceGuideId,verificationReason,failureCluster,reworkStrategy
productivity,project-status,mark-task-as-done-from-board,general,critical,draft,copilot-auto-verify,project-status--mark-task-as-done-from-board,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for project-status/mark-task-as-done-from-board. Add one direct troubleshooting branch for no-data and permission failures."
productivity,project-status,resolve-task-status-update-failure,general,critical,draft,copilot-auto-verify,project-status--resolve-task-status-update-failure,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for project-status/resolve-task-status-update-failure. Add one direct troubleshooting branch for no-data and permission failures."
productivity,projects,delete-project-and-associated-tasks,admin,critical,draft,copilot-auto-verify,projects--delete-project-and-associated-tasks,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for projects/delete-project-and-associated-tasks. Add one direct troubleshooting branch for no-data and permission failures."
reporting,reports,generate-client-statement-by-client-and-date,general,critical,draft,copilot-auto-verify,reports--generate-client-statement-by-client-and-date,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for reports/generate-client-statement-by-client-and-date. Add one direct troubleshooting branch for no-data and permission failures."
admin,user-manager,add-user-from-contact-directory,admin,critical,draft,copilot-auto-verify,user-manager--add-user-from-contact-directory,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for user-manager/add-user-from-contact-directory. Add one direct troubleshooting branch for no-data and permission failures."
admin,user-manager,enforce-invite-role-hierarchy-rules,admin,critical,draft,copilot-auto-verify,user-manager--enforce-invite-role-hierarchy-rules,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for user-manager/enforce-invite-role-hierarchy-rules. Add one direct troubleshooting branch for no-data and permission failures."
backup,backup,download-exported-backup-payloads,admin,important,draft,copilot-auto-verify,backup--download-exported-backup-payloads,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for backup/download-exported-backup-payloads. Add one direct troubleshooting branch for no-data and permission failures."
backup,backup,prepare-export-payload-for-third-party-ingestion,admin,important,draft,copilot-auto-verify,backup--prepare-export-payload-for-third-party-ingestion,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for backup/prepare-export-payload-for-third-party-ingestion. Add one direct troubleshooting branch for no-data and permission failures."
backup,backup,select-backup-types-for-export,admin,important,draft,copilot-auto-verify,backup--select-backup-types-for-export,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for backup/select-backup-types-for-export. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-statement,clear-client-statement-date-filters,general,important,draft,copilot-auto-verify,client-statement--clear-client-statement-date-filters,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-statement/clear-client-statement-date-filters. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-statement,print-client-statement,general,important,draft,copilot-auto-verify,client-statement--print-client-statement,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-statement/print-client-statement. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-statement,set-client-statement-end-date,general,important,draft,copilot-auto-verify,client-statement--set-client-statement-end-date,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-statement/set-client-statement-end-date. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-statement,set-client-statement-start-date,general,important,draft,copilot-auto-verify,client-statement--set-client-statement-start-date,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-statement/set-client-statement-start-date. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-time-log,block-direct-delete-for-calendar-sourced-client-entries,general,important,draft,copilot-auto-verify,client-time-log--block-direct-delete-for-calendar-sourced-client-entries,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-time-log/block-direct-delete-for-calendar-sourced-client-entries. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-time-log,clear-client-time-log-filters,general,important,draft,copilot-auto-verify,client-time-log--clear-client-time-log-filters,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-time-log/clear-client-time-log-filters. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-time-log,schedule-client-time-entry-in-calendar,general,important,draft,copilot-auto-verify,client-time-log--schedule-client-time-entry-in-calendar,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-time-log/schedule-client-time-entry-in-calendar. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-time-log,set-client-time-log-end-date-filter,general,important,draft,copilot-auto-verify,client-time-log--set-client-time-log-end-date-filter,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-time-log/set-client-time-log-end-date-filter. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-time-log,set-client-time-log-start-date-filter,general,important,draft,copilot-auto-verify,client-time-log--set-client-time-log-start-date-filter,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-time-log/set-client-time-log-start-date-filter. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,link-google-drive-url-to-file-record,general,important,draft,copilot-auto-verify,document-manager--link-google-drive-url-to-file-record,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/link-google-drive-url-to-file-record. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,move-file-to-folder-with-drag-and-drop,general,important,draft,copilot-auto-verify,document-manager--move-file-to-folder-with-drag-and-drop,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/move-file-to-folder-with-drag-and-drop. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,move-folder-with-drag-and-drop,general,important,draft,copilot-auto-verify,document-manager--move-folder-with-drag-and-drop,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/move-folder-with-drag-and-drop. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,open-document-manager-instructions,general,important,draft,copilot-auto-verify,document-manager--open-document-manager-instructions,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/open-document-manager-instructions. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,open-document-manager-workspace,general,important,draft,copilot-auto-verify,document-manager--open-document-manager-workspace,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/open-document-manager-workspace. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,open-linked-google-drive-file,general,important,draft,copilot-auto-verify,document-manager--open-linked-google-drive-file,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/open-linked-google-drive-file. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,rename-file-record,general,important,draft,copilot-auto-verify,document-manager--rename-file-record,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/rename-file-record. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,sort-files-by-name-or-modified-date,general,important,draft,copilot-auto-verify,document-manager--sort-files-by-name-or-modified-date,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/sort-files-by-name-or-modified-date. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,sort-folder-tree-order,general,important,draft,copilot-auto-verify,document-manager--sort-folder-tree-order,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/sort-folder-tree-order. Add one direct troubleshooting branch for no-data and permission failures."
productivity,email-hub,apply-audit-ready-email-file-naming-protocol,general,important,draft,copilot-auto-verify,email-hub--apply-audit-ready-email-file-naming-protocol,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for email-hub/apply-audit-ready-email-file-naming-protocol. Add one direct troubleshooting branch for no-data and permission failures."
productivity,email-hub,create-or-edit-contact-during-email-log,general,important,draft,copilot-auto-verify,email-hub--create-or-edit-contact-during-email-log,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for email-hub/create-or-edit-contact-during-email-log. Add one direct troubleshooting branch for no-data and permission failures."
productivity,email-hub,open-document-manager-mirror-from-email-hub,general,important,draft,copilot-auto-verify,email-hub--open-document-manager-mirror-from-email-hub,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for email-hub/open-document-manager-mirror-from-email-hub. Add one direct troubleshooting branch for no-data and permission failures."
productivity,idea-board,archive-idea-as-reference-file,general,important,draft,copilot-auto-verify,idea-board--archive-idea-as-reference-file,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for idea-board/archive-idea-as-reference-file. Add one direct troubleshooting branch for no-data and permission failures."
tools,image-generator,close-image-generator-and-return-to-action-manager,general,important,draft,copilot-auto-verify,image-generator--close-image-generator-and-return-to-action-manager,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for image-generator/close-image-generator-and-return-to-action-manager. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,clear-ledger-filters,accountant,important,draft,copilot-auto-verify,ledgers--clear-ledger-filters,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/clear-ledger-filters. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,edit-ledger-transaction,accountant,important,draft,copilot-auto-verify,ledgers--edit-ledger-transaction,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/edit-ledger-transaction. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,export-ledger-to-csv,accountant,important,draft,copilot-auto-verify,ledgers--export-ledger-to-csv,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/export-ledger-to-csv. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,filter-ledger-by-date-range,accountant,important,draft,copilot-auto-verify,ledgers--filter-ledger-by-date-range,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/filter-ledger-by-date-range. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,sort-ledger-by-date-contact-category-amount,accountant,important,draft,copilot-auto-verify,ledgers--sort-ledger-by-date-contact-category-amount,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/sort-ledger-by-date-contact-category-amount. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,switch-between-general-income-expense-tabs,accountant,important,draft,copilot-auto-verify,ledgers--switch-between-general-income-expense-tabs,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/switch-between-general-income-expense-tabs. Add one direct troubleshooting branch for no-data and permission failures."
productivity,project-status,add-board-task-to-global-todo-list,general,important,draft,copilot-auto-verify,project-status--add-board-task-to-global-todo-list,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for project-status/add-board-task-to-global-todo-list. Add one direct troubleshooting branch for no-data and permission failures."
productivity,project-status,archive-task-from-board-to-file-manager,general,important,draft,copilot-auto-verify,project-status--archive-task-from-board-to-file-manager,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for project-status/archive-task-from-board-to-file-manager. Add one direct troubleshooting branch for no-data and permission failures."
productivity,project-status,edit-task-details-from-board-card,general,important,draft,copilot-auto-verify,project-status--edit-task-details-from-board-card,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for project-status/edit-task-details-from-board-card. Add one direct troubleshooting branch for no-data and permission failures."
productivity,project-status,reorder-task-within-status-column,general,important,draft,copilot-auto-verify,project-status--reorder-task-within-status-column,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for project-status/reorder-task-within-status-column. Add one direct troubleshooting branch for no-data and permission failures."
productivity,project-status,review-column-task-counts,general,important,draft,copilot-auto-verify,project-status--review-column-task-counts,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for project-status/review-column-task-counts. Add one direct troubleshooting branch for no-data and permission failures."
productivity,projects,assign-project-to-contact,general,important,draft,copilot-auto-verify,projects--assign-project-to-contact,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for projects/assign-project-to-contact. Add one direct troubleshooting branch for no-data and permission failures."
productivity,projects,convert-task-into-new-project,general,important,draft,copilot-auto-verify,projects--convert-task-into-new-project,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for projects/convert-task-into-new-project. Add one direct troubleshooting branch for no-data and permission failures."
admin,settings,update-user-profile-settings,general,important,draft,copilot-auto-verify,settings--update-user-profile-settings,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for settings/update-user-profile-settings. Add one direct troubleshooting branch for no-data and permission failures."
admin,user-manager,edit-user-profile-details,admin,important,draft,copilot-auto-verify,user-manager--edit-user-profile-details,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for user-manager/edit-user-profile-details. Add one direct troubleshooting branch for no-data and permission failures."
reporting,work-activity,print-work-activity-evidence-pdf,general,important,draft,copilot-auto-verify,work-activity--print-work-activity-evidence-pdf,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for work-activity/print-work-activity-evidence-pdf. Add one direct troubleshooting branch for no-data and permission failures."
reporting,worker-time-log,open-worker-document-folder-from-time-log,admin,important,draft,copilot-auto-verify,worker-time-log--open-worker-document-folder-from-time-log,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for worker-time-log/open-worker-document-folder-from-time-log. Add one direct troubleshooting branch for no-data and permission failures."
reporting,worker-time-log,sort-worker-time-log-by-worker-client-date-billing,admin,important,draft,copilot-auto-verify,worker-time-log--sort-worker-time-log-by-worker-client-date-billing,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for worker-time-log/sort-worker-time-log-by-worker-client-date-billing. Add one direct troubleshooting branch for no-data and permission failures."
