domain,module,intent,targetAudience,criticality,status,owner,sourceGuideId,verificationReason,reworkFocus
reporting,client-time-log,edit-manual-client-time-log-entry,general,important,draft,copilot-auto-verify,client-time-log--edit-manual-client-time-log-entry,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/edit-manual-client-time-log-entry"
reporting,client-time-log,schedule-client-time-entry-in-calendar,general,important,draft,copilot-auto-verify,client-time-log--schedule-client-time-entry-in-calendar,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/schedule-client-time-entry-in-calendar"
reporting,client-time-log,set-client-time-log-end-date-filter,general,important,draft,copilot-auto-verify,client-time-log--set-client-time-log-end-date-filter,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/set-client-time-log-end-date-filter"
reporting,client-time-log,set-client-time-log-start-date-filter,general,important,draft,copilot-auto-verify,client-time-log--set-client-time-log-start-date-filter,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/set-client-time-log-start-date-filter"
reporting,client-time-log,sort-client-time-log-by-client-worker-date-and-billable,general,important,draft,copilot-auto-verify,client-time-log--sort-client-time-log-by-client-worker-date-and-billable,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/sort-client-time-log-by-client-worker-date-and-billable"
files,document-manager,link-google-drive-folder-to-node,general,important,draft,copilot-auto-verify,document-manager--link-google-drive-folder-to-node,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/link-google-drive-folder-to-node"
files,document-manager,link-google-drive-url-to-file-record,general,important,draft,copilot-auto-verify,document-manager--link-google-drive-url-to-file-record,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/link-google-drive-url-to-file-record"
files,document-manager,move-file-to-folder-with-drag-and-drop,general,important,draft,copilot-auto-verify,document-manager--move-file-to-folder-with-drag-and-drop,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/move-file-to-folder-with-drag-and-drop"
files,document-manager,move-folder-with-drag-and-drop,general,important,draft,copilot-auto-verify,document-manager--move-folder-with-drag-and-drop,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/move-folder-with-drag-and-drop"
files,document-manager,open-document-manager-instructions,general,important,draft,copilot-auto-verify,document-manager--open-document-manager-instructions,response was too short and lacked clear procedural structure,Improve step fidelity and troubleshooting detail for document-manager/open-document-manager-instructions
files,document-manager,open-document-manager-workspace,general,important,draft,copilot-auto-verify,document-manager--open-document-manager-workspace,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/open-document-manager-workspace"
files,document-manager,open-linked-google-drive-file,general,important,draft,copilot-auto-verify,document-manager--open-linked-google-drive-file,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/open-linked-google-drive-file"
files,document-manager,rename-file-record,general,important,draft,copilot-auto-verify,document-manager--rename-file-record,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/rename-file-record"
files,document-manager,sort-files-by-name-or-modified-date,general,important,draft,copilot-auto-verify,document-manager--sort-files-by-name-or-modified-date,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/sort-files-by-name-or-modified-date"
files,document-manager,sort-folder-tree-order,general,important,draft,copilot-auto-verify,document-manager--sort-folder-tree-order,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/sort-folder-tree-order"
productivity,email-hub,apply-audit-ready-email-file-naming-protocol,general,important,draft,copilot-auto-verify,email-hub--apply-audit-ready-email-file-naming-protocol,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for email-hub/apply-audit-ready-email-file-naming-protocol"
productivity,email-hub,create-or-edit-contact-during-email-log,general,important,draft,copilot-auto-verify,email-hub--create-or-edit-contact-during-email-log,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for email-hub/create-or-edit-contact-during-email-log"
productivity,email-hub,open-document-manager-mirror-from-email-hub,general,important,draft,copilot-auto-verify,email-hub--open-document-manager-mirror-from-email-hub,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for email-hub/open-document-manager-mirror-from-email-hub"
productivity,email-hub,resolve-missing-contact-or-subject-before-log,general,important,draft,copilot-auto-verify,email-hub--resolve-missing-contact-or-subject-before-log,response was too short and lacked clear procedural structure,Improve step fidelity and troubleshooting detail for email-hub/resolve-missing-contact-or-subject-before-log
productivity,idea-board,archive-idea-as-reference-file,general,important,draft,copilot-auto-verify,idea-board--archive-idea-as-reference-file,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for idea-board/archive-idea-as-reference-file"
tools,image-generator,close-image-generator-and-return-to-action-manager,general,important,draft,copilot-auto-verify,image-generator--close-image-generator-and-return-to-action-manager,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for image-generator/close-image-generator-and-return-to-action-manager"
accounting,ledgers,clear-ledger-filters,accountant,important,draft,copilot-auto-verify,ledgers--clear-ledger-filters,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/clear-ledger-filters"
accounting,ledgers,edit-ledger-transaction,accountant,important,draft,copilot-auto-verify,ledgers--edit-ledger-transaction,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/edit-ledger-transaction"
accounting,ledgers,export-ledger-to-csv,accountant,important,draft,copilot-auto-verify,ledgers--export-ledger-to-csv,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/export-ledger-to-csv"
accounting,ledgers,filter-ledger-by-date-range,accountant,important,draft,copilot-auto-verify,ledgers--filter-ledger-by-date-range,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/filter-ledger-by-date-range"
accounting,ledgers,sort-ledger-by-date-contact-category-amount,accountant,important,draft,copilot-auto-verify,ledgers--sort-ledger-by-date-contact-category-amount,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/sort-ledger-by-date-contact-category-amount"
accounting,ledgers,switch-between-general-income-expense-tabs,accountant,important,draft,copilot-auto-verify,ledgers--switch-between-general-income-expense-tabs,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/switch-between-general-income-expense-tabs"
productivity,project-status,add-board-task-to-global-todo-list,general,important,draft,copilot-auto-verify,project-status--add-board-task-to-global-todo-list,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for project-status/add-board-task-to-global-todo-list"
productivity,project-status,archive-task-from-board-to-file-manager,general,important,draft,copilot-auto-verify,project-status--archive-task-from-board-to-file-manager,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for project-status/archive-task-from-board-to-file-manager"
productivity,project-status,edit-task-details-from-board-card,general,important,draft,copilot-auto-verify,project-status--edit-task-details-from-board-card,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for project-status/edit-task-details-from-board-card"
productivity,project-status,reopen-done-task-to-todo,general,important,draft,copilot-auto-verify,project-status--reopen-done-task-to-todo,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for project-status/reopen-done-task-to-todo"
productivity,project-status,reorder-task-within-status-column,general,important,draft,copilot-auto-verify,project-status--reorder-task-within-status-column,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for project-status/reorder-task-within-status-column"
productivity,project-status,review-column-task-counts,general,important,draft,copilot-auto-verify,project-status--review-column-task-counts,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for project-status/review-column-task-counts"
productivity,projects,assign-project-to-contact,general,important,draft,copilot-auto-verify,projects--assign-project-to-contact,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for projects/assign-project-to-contact"
productivity,projects,convert-task-into-new-project,general,important,draft,copilot-auto-verify,projects--convert-task-into-new-project,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for projects/convert-task-into-new-project"
productivity,projects,delete-project-step-and-linked-task,general,important,draft,copilot-auto-verify,projects--delete-project-step-and-linked-task,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for projects/delete-project-step-and-linked-task"
productivity,projects,open-project-task-board,general,important,draft,copilot-auto-verify,projects--open-project-task-board,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for projects/open-project-task-board"
reporting,reports,print-bank-reconciliation-statement,accountant,important,draft,copilot-auto-verify,reports--print-bank-reconciliation-statement,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for reports/print-bank-reconciliation-statement"
admin,settings,update-user-profile-settings,general,important,draft,copilot-auto-verify,settings--update-user-profile-settings,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for settings/update-user-profile-settings"
admin,user-manager,edit-user-profile-details,admin,important,draft,copilot-auto-verify,user-manager--edit-user-profile-details,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for user-manager/edit-user-profile-details"
reporting,work-activity,print-work-activity-evidence-pdf,general,important,draft,copilot-auto-verify,work-activity--print-work-activity-evidence-pdf,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for work-activity/print-work-activity-evidence-pdf"
reporting,worker-time-log,open-worker-document-folder-from-time-log,admin,important,draft,copilot-auto-verify,worker-time-log--open-worker-document-folder-from-time-log,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for worker-time-log/open-worker-document-folder-from-time-log"
reporting,worker-time-log,sort-worker-time-log-by-worker-client-date-billing,admin,important,draft,copilot-auto-verify,worker-time-log--sort-worker-time-log-by-worker-client-date-billing,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for worker-time-log/sort-worker-time-log-by-worker-client-date-billing"
