domain,module,intent,targetAudience,criticality,status,owner,sourceGuideId
onboarding,auth,map-sso-roles,admin,important,verified,copilot-auto-verify,auth--map-sso-roles
onboarding,auth,troubleshoot-sso-login-failure,admin,critical,verified,copilot-auto-verify,auth--troubleshoot-sso-login-failure
onboarding,auth,approve-new-device-login,admin,important,verified,copilot-auto-verify,auth--approve-new-device-login
onboarding,auth,review-login-history,admin,important,verified,copilot-auto-verify,auth--review-login-history
onboarding,auth,force-user-logout,admin,important,verified,copilot-auto-verify,auth--force-user-logout
onboarding,auth,configure-ip-allowlist,admin,critical,verified,copilot-auto-verify,auth--configure-ip-allowlist
onboarding,auth,handle-suspicious-login-alert,admin,critical,verified,copilot-auto-verify,auth--handle-suspicious-login-alert
onboarding,auth,update-profile-security-settings,general,important,verified,copilot-auto-verify,auth--update-profile-security-settings
onboarding,auth,change-primary-email,general,important,verified,copilot-auto-verify,auth--change-primary-email
onboarding,auth,recover-admin-access,admin,critical,verified,copilot-auto-verify,auth--recover-admin-access
onboarding,auth,set-up-backup-codes,general,important,verified,copilot-auto-verify,auth--set-up-backup-codes
onboarding,auth,test-auth-disaster-recovery,admin,important,verified,copilot-auto-verify,auth--test-auth-disaster-recovery
crm,contacts,create-lead,consultant,critical,verified,copilot-auto-verify,contacts--create-lead
crm,contacts,qualify-lead,consultant,important,verified,copilot-auto-verify,contacts--qualify-lead
crm,contacts,disqualify-lead,consultant,important,verified,copilot-auto-verify,contacts--disqualify-lead
crm,contacts,assign-contact-owner,admin,important,verified,copilot-auto-verify,contacts--assign-contact-owner
crm,contacts,reassign-contact-owner,admin,important,verified,copilot-auto-verify,contacts--reassign-contact-owner
crm,contacts,archive-contact,general,important,verified,copilot-auto-verify,contacts--archive-contact
crm,contacts,restore-archived-contact,admin,important,verified,copilot-auto-verify,contacts--restore-archived-contact
crm,contacts,bulk-import-contacts,admin,critical,verified,copilot-auto-verify,contacts--bulk-import-contacts
crm,contacts,validate-contact-import-errors,admin,critical,verified,copilot-auto-verify,contacts--validate-contact-import-errors
crm,contacts,export-contact-list,general,important,verified,copilot-auto-verify,contacts--export-contact-list
crm,contacts,segment-contacts-by-tag,consultant,important,verified,copilot-auto-verify,contacts--segment-contacts-by-tag
crm,contacts,add-contact-note,general,important,verified,copilot-auto-verify,contacts--add-contact-note
crm,contacts,log-contact-call,general,important,verified,copilot-auto-verify,contacts--log-contact-call
crm,contacts,schedule-follow-up-task,general,important,verified,copilot-auto-verify,contacts--schedule-follow-up-task
crm,contacts,link-contact-to-deal,consultant,important,verified,copilot-auto-verify,contacts--link-contact-to-deal
crm,contacts,unlink-contact-from-deal,consultant,important,verified,copilot-auto-verify,contacts--unlink-contact-from-deal
crm,contacts,attach-document-to-contact,general,important,verified,copilot-auto-verify,contacts--attach-document-to-contact
crm,contacts,resolve-contact-permission-error,admin,critical,verified,copilot-auto-verify,contacts--resolve-contact-permission-error
crm,contacts,standardize-contact-fields,admin,important,verified,copilot-auto-verify,contacts--standardize-contact-fields
crm,contacts,deduplicate-imported-contacts,admin,critical,verified,copilot-auto-verify,contacts--deduplicate-imported-contacts
crm,contacts,update-contact-consent-status,general,critical,verified,copilot-auto-verify,contacts--update-contact-consent-status
crm,contacts,track-contact-source-campaign,consultant,important,verified,copilot-auto-verify,contacts--track-contact-source-campaign
crm,contacts,create-contact-from-email,general,important,verified,copilot-auto-verify,contacts--create-contact-from-email
crm,contacts,sync-contacts-with-calendar,admin,important,verified,copilot-auto-verify,contacts--sync-contacts-with-calendar
crm,contacts,troubleshoot-missing-contact-record,admin,critical,verified,copilot-auto-verify,contacts--troubleshoot-missing-contact-record
productivity,tasks,start-lead-from-email-action-chip,general,critical,verified,copilot-auto-verify,tasks--start-lead-from-email-action-chip
accounting,accounting,prepare-for-cra-audit,accountant,critical,verified,copilot-auto-verify,accounting--prepare-for-cra-audit
payroll,payroll,pay-contractor-via-unified-identity,admin,critical,verified,copilot-auto-verify,payroll--pay-contractor-via-unified-identity
wellness,wellness,configure-hytexercise-break-routine,general,important,verified,copilot-auto-verify,wellness--configure-hytexercise-break-routine
strategy,ideas,capture-idea-during-active-workflow,general,important,verified,copilot-auto-verify,ideas--capture-idea-during-active-workflow
marketing,images,improve-imagen-campaign-output,general,important,verified,copilot-auto-verify,images--improve-imagen-campaign-output
governance,data,run-ethical-exit-data-export,admin,critical,verified,copilot-auto-verify,data--run-ethical-exit-data-export
files,files,create-folder,general,important,verified,copilot-auto-verify,files--create-folder
files,files,rename-folder,general,important,verified,copilot-auto-verify,files--rename-folder
files,files,archive-folder,general,important,verified,copilot-auto-verify,files--archive-folder
files,files,restore-archived-folder,admin,important,verified,copilot-auto-verify,files--restore-archived-folder
files,files,move-file-between-folders,general,important,verified,copilot-auto-verify,files--move-file-between-folders
files,files,version-control-document,general,important,verified,copilot-auto-verify,files--version-control-document
files,files,replace-document-version,general,important,verified,copilot-auto-verify,files--replace-document-version
files,files,lock-document-for-review,admin,important,verified,copilot-auto-verify,files--lock-document-for-review
files,files,unlock-document-after-review,admin,important,verified,copilot-auto-verify,files--unlock-document-after-review
files,files,share-document-with-team,general,important,verified,copilot-auto-verify,files--share-document-with-team
files,files,revoke-document-access,admin,critical,verified,copilot-auto-verify,files--revoke-document-access
files,files,set-document-retention-policy,admin,critical,verified,copilot-auto-verify,files--set-document-retention-policy
files,files,request-document-approval,general,important,verified,copilot-auto-verify,files--request-document-approval
files,files,approve-document,admin,important,verified,copilot-auto-verify,files--approve-document
files,files,reject-document,admin,important,verified,copilot-auto-verify,files--reject-document
files,files,bulk-upload-documents,general,critical,verified,copilot-auto-verify,files--bulk-upload-documents
files,files,scan-document-for-ocr,general,important,verified,copilot-auto-verify,files--scan-document-for-ocr
files,files,tag-document-for-search,general,important,verified,copilot-auto-verify,files--tag-document-for-search
files,files,resolve-upload-size-error,general,critical,verified,copilot-auto-verify,files--resolve-upload-size-error
files,files,resolve-unsupported-file-type,general,critical,verified,copilot-auto-verify,files--resolve-unsupported-file-type
files,files,recover-deleted-file,admin,critical,verified,copilot-auto-verify,files--recover-deleted-file
files,files,generate-share-link,general,important,verified,copilot-auto-verify,files--generate-share-link
files,files,expire-share-link,admin,important,verified,copilot-auto-verify,files--expire-share-link
files,files,audit-document-access,admin,critical,verified,copilot-auto-verify,files--audit-document-access
files,files,troubleshoot-document-sync-delay,admin,important,verified,copilot-auto-verify,files--troubleshoot-document-sync-delay
accounting,accounting,create-invoice,accountant,critical,verified,copilot-auto-verify,accounting--create-invoice
accounting,accounting,edit-invoice,accountant,important,verified,copilot-auto-verify,accounting--edit-invoice
accounting,accounting,void-invoice,accountant,critical,verified,copilot-auto-verify,accounting--void-invoice
accounting,accounting,record-customer-payment,accountant,critical,verified,copilot-auto-verify,accounting--record-customer-payment
accounting,accounting,issue-credit-note,accountant,important,verified,copilot-auto-verify,accounting--issue-credit-note
accounting,accounting,create-bill,accountant,critical,verified,copilot-auto-verify,accounting--create-bill
accounting,accounting,approve-bill,accountant,critical,verified,copilot-auto-verify,accounting--approve-bill
accounting,accounting,schedule-bill-payment,accountant,important,verified,copilot-auto-verify,accounting--schedule-bill-payment
accounting,accounting,record-vendor-payment,accountant,critical,verified,copilot-auto-verify,accounting--record-vendor-payment
accounting,accounting,manage-chart-of-accounts,admin,critical,verified,copilot-auto-verify,accounting--manage-chart-of-accounts
accounting,accounting,open-accounting-period,admin,critical,verified,copilot-auto-verify,accounting--open-accounting-period
accounting,accounting,close-accounting-period,admin,critical,verified,copilot-auto-verify,accounting--close-accounting-period
accounting,accounting,reopen-closed-period,admin,critical,verified,copilot-auto-verify,accounting--reopen-closed-period
accounting,accounting,run-trial-balance,accountant,critical,verified,copilot-auto-verify,accounting--run-trial-balance
accounting,accounting,prepare-balance-sheet,accountant,important,verified,copilot-auto-verify,accounting--prepare-balance-sheet
accounting,accounting,prepare-profit-loss,accountant,important,verified,copilot-auto-verify,accounting--prepare-profit-loss
accounting,accounting,post-accrual-adjustment,accountant,important,verified,copilot-auto-verify,accounting--post-accrual-adjustment
accounting,accounting,reverse-journal-entry,accountant,important,verified,copilot-auto-verify,accounting--reverse-journal-entry
accounting,accounting,allocate-cost-centers,accountant,important,verified,copilot-auto-verify,accounting--allocate-cost-centers
accounting,accounting,match-bank-feed-transactions,accountant,critical,verified,copilot-auto-verify,accounting--match-bank-feed-transactions
accounting,accounting,resolve-unbalanced-journal,accountant,critical,verified,copilot-auto-verify,accounting--resolve-unbalanced-journal
accounting,accounting,handle-duplicate-transaction,accountant,important,verified,copilot-auto-verify,accounting--handle-duplicate-transaction
accounting,accounting,calculate-sales-tax,accountant,critical,verified,copilot-auto-verify,accounting--calculate-sales-tax
accounting,accounting,file-tax-summary-report,accountant,important,verified,copilot-auto-verify,accounting--file-tax-summary-report
accounting,accounting,audit-ledger-changes,admin,critical,verified,copilot-auto-verify,accounting--audit-ledger-changes
