domain,module,intent,targetAudience,criticality,status,owner,sourceGuideId
onboarding,auth,map-sso-roles,admin,important,verified,copilot-auto-verify,auth--map-sso-roles
onboarding,auth,troubleshoot-sso-login-failure,admin,critical,verified,copilot-auto-verify,auth--troubleshoot-sso-login-failure
onboarding,auth,approve-new-device-login,admin,important,verified,copilot-auto-verify,auth--approve-new-device-login
onboarding,auth,review-login-history,admin,important,verified,copilot-auto-verify,auth--review-login-history
onboarding,auth,force-user-logout,admin,important,verified,copilot-auto-verify,auth--force-user-logout
onboarding,auth,configure-ip-allowlist,admin,critical,verified,copilot-auto-verify,auth--configure-ip-allowlist
onboarding,auth,handle-suspicious-login-alert,admin,critical,verified,copilot-auto-verify,auth--handle-suspicious-login-alert
onboarding,auth,update-profile-security-settings,general,important,verified,copilot-auto-verify,auth--update-profile-security-settings
onboarding,auth,change-primary-email,general,important,verified,copilot-auto-verify,auth--change-primary-email
onboarding,auth,recover-admin-access,admin,critical,verified,copilot-auto-verify,auth--recover-admin-access
onboarding,auth,set-up-backup-codes,general,important,verified,copilot-auto-verify,auth--set-up-backup-codes
onboarding,auth,test-auth-disaster-recovery,admin,important,verified,copilot-auto-verify,auth--test-auth-disaster-recovery
crm,contacts,create-lead,consultant,critical,verified,copilot-auto-verify,contacts--create-lead
crm,contacts,qualify-lead,consultant,important,verified,copilot-auto-verify,contacts--qualify-lead
crm,contacts,disqualify-lead,consultant,important,verified,copilot-auto-verify,contacts--disqualify-lead
crm,contacts,assign-contact-owner,admin,important,verified,copilot-auto-verify,contacts--assign-contact-owner
crm,contacts,reassign-contact-owner,admin,important,verified,copilot-auto-verify,contacts--reassign-contact-owner
crm,contacts,archive-contact,general,important,verified,copilot-auto-verify,contacts--archive-contact
crm,contacts,restore-archived-contact,admin,important,verified,copilot-auto-verify,contacts--restore-archived-contact
crm,contacts,bulk-import-contacts,admin,critical,verified,copilot-auto-verify,contacts--bulk-import-contacts
crm,contacts,validate-contact-import-errors,admin,critical,verified,copilot-auto-verify,contacts--validate-contact-import-errors
crm,contacts,export-contact-list,general,important,verified,copilot-auto-verify,contacts--export-contact-list
crm,contacts,segment-contacts-by-tag,consultant,important,verified,copilot-auto-verify,contacts--segment-contacts-by-tag
crm,contacts,add-contact-note,general,important,verified,copilot-auto-verify,contacts--add-contact-note
crm,contacts,log-contact-call,general,important,verified,copilot-auto-verify,contacts--log-contact-call
crm,contacts,schedule-follow-up-task,general,important,verified,copilot-auto-verify,contacts--schedule-follow-up-task
crm,contacts,link-contact-to-deal,consultant,important,verified,copilot-auto-verify,contacts--link-contact-to-deal
crm,contacts,unlink-contact-from-deal,consultant,important,verified,copilot-auto-verify,contacts--unlink-contact-from-deal
crm,contacts,attach-document-to-contact,general,important,verified,copilot-auto-verify,contacts--attach-document-to-contact
crm,contacts,resolve-contact-permission-error,admin,critical,verified,copilot-auto-verify,contacts--resolve-contact-permission-error
crm,contacts,standardize-contact-fields,admin,important,verified,copilot-auto-verify,contacts--standardize-contact-fields
crm,contacts,deduplicate-imported-contacts,admin,critical,verified,copilot-auto-verify,contacts--deduplicate-imported-contacts
crm,contacts,update-contact-consent-status,general,critical,verified,copilot-auto-verify,contacts--update-contact-consent-status
crm,contacts,track-contact-source-campaign,consultant,important,verified,copilot-auto-verify,contacts--track-contact-source-campaign
crm,contacts,create-contact-from-email,general,important,verified,copilot-auto-verify,contacts--create-contact-from-email
crm,contacts,sync-contacts-with-calendar,admin,important,verified,copilot-auto-verify,contacts--sync-contacts-with-calendar
crm,contacts,troubleshoot-missing-contact-record,admin,critical,verified,copilot-auto-verify,contacts--troubleshoot-missing-contact-record
productivity,tasks,start-lead-from-email-action-chip,general,critical,verified,copilot-auto-verify,tasks--start-lead-from-email-action-chip
accounting,accounting,prepare-for-cra-audit,accountant,critical,verified,copilot-auto-verify,accounting--prepare-for-cra-audit
payroll,payroll,pay-contractor-via-unified-identity,admin,critical,verified,copilot-auto-verify,payroll--pay-contractor-via-unified-identity
wellness,wellness,configure-hytexercise-break-routine,general,important,verified,copilot-auto-verify,wellness--configure-hytexercise-break-routine
strategy,ideas,capture-idea-during-active-workflow,general,important,verified,copilot-auto-verify,ideas--capture-idea-during-active-workflow
marketing,images,improve-imagen-campaign-output,general,important,verified,copilot-auto-verify,images--improve-imagen-campaign-output
governance,data,run-ethical-exit-data-export,admin,critical,verified,copilot-auto-verify,data--run-ethical-exit-data-export
files,files,create-folder,general,important,verified,copilot-auto-verify,files--create-folder
files,files,rename-folder,general,important,verified,copilot-auto-verify,files--rename-folder
files,files,archive-folder,general,important,verified,copilot-auto-verify,files--archive-folder
files,files,restore-archived-folder,admin,important,verified,copilot-auto-verify,files--restore-archived-folder
files,files,move-file-between-folders,general,important,verified,copilot-auto-verify,files--move-file-between-folders
files,files,version-control-document,general,important,verified,copilot-auto-verify,files--version-control-document
files,files,replace-document-version,general,important,verified,copilot-auto-verify,files--replace-document-version
files,files,lock-document-for-review,admin,important,verified,copilot-auto-verify,files--lock-document-for-review
files,files,unlock-document-after-review,admin,important,verified,copilot-auto-verify,files--unlock-document-after-review
files,files,share-document-with-team,general,important,verified,copilot-auto-verify,files--share-document-with-team
files,files,revoke-document-access,admin,critical,verified,copilot-auto-verify,files--revoke-document-access
files,files,set-document-retention-policy,admin,critical,verified,copilot-auto-verify,files--set-document-retention-policy
files,files,request-document-approval,general,important,verified,copilot-auto-verify,files--request-document-approval
files,files,approve-document,admin,important,verified,copilot-auto-verify,files--approve-document
files,files,reject-document,admin,important,verified,copilot-auto-verify,files--reject-document
files,files,bulk-upload-documents,general,critical,verified,copilot-auto-verify,files--bulk-upload-documents
files,files,scan-document-for-ocr,general,important,verified,copilot-auto-verify,files--scan-document-for-ocr
files,files,tag-document-for-search,general,important,verified,copilot-auto-verify,files--tag-document-for-search
files,files,resolve-upload-size-error,general,critical,verified,copilot-auto-verify,files--resolve-upload-size-error
files,files,resolve-unsupported-file-type,general,critical,verified,copilot-auto-verify,files--resolve-unsupported-file-type
files,files,recover-deleted-file,admin,critical,verified,copilot-auto-verify,files--recover-deleted-file
files,files,generate-share-link,general,important,verified,copilot-auto-verify,files--generate-share-link
files,files,expire-share-link,admin,important,verified,copilot-auto-verify,files--expire-share-link
files,files,audit-document-access,admin,critical,verified,copilot-auto-verify,files--audit-document-access
files,files,troubleshoot-document-sync-delay,admin,important,verified,copilot-auto-verify,files--troubleshoot-document-sync-delay
accounting,accounting,create-invoice,accountant,critical,verified,copilot-auto-verify,accounting--create-invoice
accounting,accounting,edit-invoice,accountant,important,verified,copilot-auto-verify,accounting--edit-invoice
accounting,accounting,void-invoice,accountant,critical,verified,copilot-auto-verify,accounting--void-invoice
accounting,accounting,record-customer-payment,accountant,critical,verified,copilot-auto-verify,accounting--record-customer-payment
accounting,accounting,issue-credit-note,accountant,important,verified,copilot-auto-verify,accounting--issue-credit-note
accounting,accounting,create-bill,accountant,critical,verified,copilot-auto-verify,accounting--create-bill
accounting,accounting,approve-bill,accountant,critical,verified,copilot-auto-verify,accounting--approve-bill
accounting,accounting,schedule-bill-payment,accountant,important,verified,copilot-auto-verify,accounting--schedule-bill-payment
accounting,accounting,record-vendor-payment,accountant,critical,verified,copilot-auto-verify,accounting--record-vendor-payment
accounting,accounting,manage-chart-of-accounts,admin,critical,verified,copilot-auto-verify,accounting--manage-chart-of-accounts
accounting,accounting,open-accounting-period,admin,critical,verified,copilot-auto-verify,accounting--open-accounting-period
accounting,accounting,close-accounting-period,admin,critical,verified,copilot-auto-verify,accounting--close-accounting-period
accounting,accounting,reopen-closed-period,admin,critical,verified,copilot-auto-verify,accounting--reopen-closed-period
accounting,accounting,run-trial-balance,accountant,critical,verified,copilot-auto-verify,accounting--run-trial-balance
accounting,accounting,prepare-balance-sheet,accountant,important,verified,copilot-auto-verify,accounting--prepare-balance-sheet
accounting,accounting,prepare-profit-loss,accountant,important,verified,copilot-auto-verify,accounting--prepare-profit-loss
accounting,accounting,post-accrual-adjustment,accountant,important,verified,copilot-auto-verify,accounting--post-accrual-adjustment
accounting,accounting,reverse-journal-entry,accountant,important,verified,copilot-auto-verify,accounting--reverse-journal-entry
accounting,accounting,allocate-cost-centers,accountant,important,verified,copilot-auto-verify,accounting--allocate-cost-centers
accounting,accounting,match-bank-feed-transactions,accountant,critical,verified,copilot-auto-verify,accounting--match-bank-feed-transactions
accounting,accounting,resolve-unbalanced-journal,accountant,critical,verified,copilot-auto-verify,accounting--resolve-unbalanced-journal
accounting,accounting,handle-duplicate-transaction,accountant,important,verified,copilot-auto-verify,accounting--handle-duplicate-transaction
accounting,accounting,calculate-sales-tax,accountant,critical,verified,copilot-auto-verify,accounting--calculate-sales-tax
accounting,accounting,file-tax-summary-report,accountant,important,verified,copilot-auto-verify,accounting--file-tax-summary-report
accounting,accounting,audit-ledger-changes,admin,critical,verified,copilot-auto-verify,accounting--audit-ledger-changes
payroll,payroll,onboard-payroll-employee,admin,critical,verified,copilot-auto-verify,payroll--onboard-payroll-employee
payroll,payroll,update-worker-tax-profile,admin,critical,verified,copilot-auto-verify,payroll--update-worker-tax-profile
payroll,payroll,set-worker-pay-rate,admin,critical,verified,copilot-auto-verify,payroll--set-worker-pay-rate
payroll,payroll,manage-benefit-deductions,admin,important,verified,copilot-auto-verify,payroll--manage-benefit-deductions
payroll,payroll,configure-overtime-rules,admin,important,verified,copilot-auto-verify,payroll--configure-overtime-rules
payroll,payroll,import-timesheets,accountant,critical,verified,copilot-auto-verify,payroll--import-timesheets
payroll,payroll,approve-timesheets,admin,critical,verified,copilot-auto-verify,payroll--approve-timesheets
payroll,payroll,lock-pay-period,admin,critical,verified,copilot-auto-verify,payroll--lock-pay-period
payroll,payroll,unlock-pay-period,admin,important,verified,copilot-auto-verify,payroll--unlock-pay-period
payroll,payroll,run-off-cycle-payroll,accountant,critical,verified,copilot-auto-verify,payroll--run-off-cycle-payroll
payroll,payroll,process-bonus-payroll,accountant,important,verified,copilot-auto-verify,payroll--process-bonus-payroll
payroll,payroll,process-termination-pay,accountant,critical,verified,copilot-auto-verify,payroll--process-termination-pay
payroll,payroll,generate-pay-stubs,accountant,important,verified,copilot-auto-verify,payroll--generate-pay-stubs
payroll,payroll,deliver-pay-stubs,admin,important,verified,copilot-auto-verify,payroll--deliver-pay-stubs
payroll,payroll,remit-payroll-taxes,accountant,critical,verified,copilot-auto-verify,payroll--remit-payroll-taxes
payroll,payroll,file-payroll-tax-return,accountant,critical,verified,copilot-auto-verify,payroll--file-payroll-tax-return
payroll,payroll,reconcile-payroll-liabilities,accountant,critical,verified,copilot-auto-verify,payroll--reconcile-payroll-liabilities
payroll,payroll,correct-missed-payroll,accountant,critical,verified,copilot-auto-verify,payroll--correct-missed-payroll
payroll,payroll,handle-payroll-overpayment,accountant,important,verified,copilot-auto-verify,payroll--handle-payroll-overpayment
payroll,payroll,recover-payroll-failure,admin,critical,verified,copilot-auto-verify,payroll--recover-payroll-failure
payroll,payroll,update-direct-deposit-details,admin,critical,verified,copilot-auto-verify,payroll--update-direct-deposit-details
payroll,payroll,resolve-direct-deposit-rejection,accountant,critical,verified,copilot-auto-verify,payroll--resolve-direct-deposit-rejection
payroll,payroll,audit-payroll-changes,admin,critical,verified,copilot-auto-verify,payroll--audit-payroll-changes
payroll,payroll,export-payroll-register,accountant,important,verified,copilot-auto-verify,payroll--export-payroll-register
payroll,payroll,close-payroll-year,admin,critical,verified,copilot-auto-verify,payroll--close-payroll-year
reporting,reports,create-custom-report,general,important,verified,copilot-auto-verify,reports--create-custom-report
reporting,reports,edit-custom-report,general,important,verified,copilot-auto-verify,reports--edit-custom-report
reporting,reports,delete-custom-report,admin,important,verified,copilot-auto-verify,reports--delete-custom-report
reporting,reports,schedule-report-delivery,general,important,verified,copilot-auto-verify,reports--schedule-report-delivery
reporting,reports,pause-scheduled-report,admin,important,verified,copilot-auto-verify,reports--pause-scheduled-report
reporting,reports,resume-scheduled-report,admin,important,verified,copilot-auto-verify,reports--resume-scheduled-report
reporting,reports,share-report-dashboard,general,important,verified,copilot-auto-verify,reports--share-report-dashboard
reporting,reports,revoke-report-access,admin,critical,verified,copilot-auto-verify,reports--revoke-report-access
reporting,reports,filter-report-by-date-range,general,important,verified,copilot-auto-verify,reports--filter-report-by-date-range
reporting,reports,compare-period-over-period,general,important,verified,copilot-auto-verify,reports--compare-period-over-period
reporting,reports,build-kpi-scorecard,consultant,important,verified,copilot-auto-verify,reports--build-kpi-scorecard
reporting,reports,create-exception-report,consultant,important,verified,copilot-auto-verify,reports--create-exception-report
reporting,reports,generate-audit-report,admin,critical,verified,copilot-auto-verify,reports--generate-audit-report
reporting,reports,run-compliance-report,admin,critical,verified,copilot-auto-verify,reports--run-compliance-report
reporting,reports,drill-down-report-details,general,important,verified,copilot-auto-verify,reports--drill-down-report-details
reporting,reports,save-report-template,general,important,verified,copilot-auto-verify,reports--save-report-template
reporting,reports,clone-report-template,general,important,verified,copilot-auto-verify,reports--clone-report-template
reporting,reports,set-report-alert-threshold,admin,important,verified,copilot-auto-verify,reports--set-report-alert-threshold
reporting,reports,resolve-report-data-lag,admin,critical,verified,copilot-auto-verify,reports--resolve-report-data-lag
reporting,reports,fix-empty-report-results,general,critical,verified,copilot-auto-verify,reports--fix-empty-report-results
reporting,reports,troubleshoot-report-permission-error,admin,critical,verified,copilot-auto-verify,reports--troubleshoot-report-permission-error
reporting,reports,export-report-csv,general,important,verified,copilot-auto-verify,reports--export-report-csv
reporting,reports,export-report-pdf,general,important,verified,copilot-auto-verify,reports--export-report-pdf
reporting,reports,email-report-to-stakeholders,general,important,verified,copilot-auto-verify,reports--email-report-to-stakeholders
reporting,reports,archive-report-snapshot,admin,important,verified,copilot-auto-verify,reports--archive-report-snapshot
admin,settings,create-custom-role,admin,critical,verified,copilot-auto-verify,settings--create-custom-role
admin,settings,edit-custom-role,admin,critical,verified,copilot-auto-verify,settings--edit-custom-role
admin,settings,delete-custom-role,admin,critical,verified,copilot-auto-verify,settings--delete-custom-role
admin,settings,assign-role-to-user,admin,critical,verified,copilot-auto-verify,settings--assign-role-to-user
admin,settings,remove-role-from-user,admin,critical,verified,copilot-auto-verify,settings--remove-role-from-user
admin,settings,configure-module-access,admin,critical,verified,copilot-auto-verify,settings--configure-module-access
admin,settings,configure-field-level-permissions,admin,critical,verified,copilot-auto-verify,settings--configure-field-level-permissions
admin,settings,set-approval-workflow-rules,admin,important,verified,copilot-auto-verify,settings--set-approval-workflow-rules
admin,settings,edit-approval-workflow-rules,admin,important,verified,copilot-auto-verify,settings--edit-approval-workflow-rules
admin,settings,disable-approval-workflow,admin,important,verified,copilot-auto-verify,settings--disable-approval-workflow
admin,settings,configure-notification-rules,admin,important,verified,copilot-auto-verify,settings--configure-notification-rules
admin,settings,configure-email-templates,admin,important,verified,copilot-auto-verify,settings--configure-email-templates
admin,settings,set-data-retention-rules,admin,critical,verified,copilot-auto-verify,settings--set-data-retention-rules
admin,settings,set-backup-schedule,admin,critical,verified,copilot-auto-verify,settings--set-backup-schedule
admin,settings,restore-system-backup,admin,critical,verified,copilot-auto-verify,settings--restore-system-backup
admin,settings,manage-api-keys,admin,critical,verified,copilot-auto-verify,settings--manage-api-keys
admin,settings,rotate-api-keys,admin,critical,verified,copilot-auto-verify,settings--rotate-api-keys
admin,settings,configure-webhooks,admin,important,verified,copilot-auto-verify,settings--configure-webhooks
admin,settings,test-webhook-delivery,admin,important,verified,copilot-auto-verify,settings--test-webhook-delivery
admin,settings,configure-integration-connection,admin,important,verified,copilot-auto-verify,settings--configure-integration-connection
admin,settings,disconnect-integration-connection,admin,important,verified,copilot-auto-verify,settings--disconnect-integration-connection
admin,settings,manage-feature-flags,admin,important,verified,copilot-auto-verify,settings--manage-feature-flags
admin,settings,enable-maintenance-mode,admin,critical,verified,copilot-auto-verify,settings--enable-maintenance-mode
admin,settings,disable-maintenance-mode,admin,critical,verified,copilot-auto-verify,settings--disable-maintenance-mode
admin,settings,troubleshoot-settings-propagation-delay,admin,important,verified,copilot-auto-verify,settings--troubleshoot-settings-propagation-delay
assistant,knowledge,create-guide-from-template,admin,important,verified,copilot-auto-verify,knowledge--create-guide-from-template
assistant,knowledge,edit-guide-content,admin,important,verified,copilot-auto-verify,knowledge--edit-guide-content
assistant,knowledge,archive-guide,admin,important,verified,copilot-auto-verify,knowledge--archive-guide
assistant,knowledge,restore-archived-guide,admin,important,verified,copilot-auto-verify,knowledge--restore-archived-guide
assistant,knowledge,tag-guide-keywords,admin,important,verified,copilot-auto-verify,knowledge--tag-guide-keywords
assistant,knowledge,map-guide-to-intent,admin,critical,verified,copilot-auto-verify,knowledge--map-guide-to-intent
assistant,knowledge,split-guide-into-chunks,admin,critical,verified,copilot-auto-verify,knowledge--split-guide-into-chunks
assistant,knowledge,merge-duplicate-guides,admin,important,verified,copilot-auto-verify,knowledge--merge-duplicate-guides
assistant,knowledge,run-embedding-refresh,admin,critical,verified,copilot-auto-verify,knowledge--run-embedding-refresh
assistant,knowledge,reindex-vector-corpus,admin,critical,verified,copilot-auto-verify,knowledge--reindex-vector-corpus
assistant,knowledge,validate-guide-schema,admin,critical,verified,copilot-auto-verify,knowledge--validate-guide-schema
assistant,knowledge,review-guide-quality-score,admin,important,verified,copilot-auto-verify,knowledge--review-guide-quality-score
assistant,knowledge,approve-guide-for-publish,admin,important,verified,copilot-auto-verify,knowledge--approve-guide-for-publish
assistant,knowledge,rollback-guide-version,admin,critical,verified,copilot-auto-verify,knowledge--rollback-guide-version
assistant,knowledge,compare-guide-versions,admin,important,verified,copilot-auto-verify,knowledge--compare-guide-versions
assistant,knowledge,identify-coverage-gaps,admin,critical,verified,copilot-auto-verify,knowledge--identify-coverage-gaps
assistant,knowledge,generate-guides-from-matrix,admin,critical,verified,copilot-auto-verify,knowledge--generate-guides-from-matrix
assistant,knowledge,verify-guide-answer-quality,admin,critical,verified,copilot-auto-verify,knowledge--verify-guide-answer-quality
assistant,knowledge,triage-failing-intents,admin,critical,verified,copilot-auto-verify,knowledge--triage-failing-intents
assistant,knowledge,monitor-assistant-latency,admin,important,verified,copilot-auto-verify,knowledge--monitor-assistant-latency
assistant,knowledge,monitor-answer-grounding,admin,important,verified,copilot-auto-verify,knowledge--monitor-answer-grounding
assistant,knowledge,configure-assistant-safety-policy,admin,critical,verified,copilot-auto-verify,knowledge--configure-assistant-safety-policy
assistant,knowledge,audit-assistant-responses,admin,critical,verified,copilot-auto-verify,knowledge--audit-assistant-responses
assistant,knowledge,export-knowledge-base,admin,important,verified,copilot-auto-verify,knowledge--export-knowledge-base
assistant,knowledge,troubleshoot-vector-index-error,admin,critical,verified,copilot-auto-verify,knowledge--troubleshoot-vector-index-error
productivity,tasks,create-task,general,critical,verified,copilot-auto-verify,tasks--create-task
productivity,tasks,edit-task,general,important,verified,copilot-auto-verify,tasks--edit-task
productivity,tasks,delete-task,general,important,verified,copilot-auto-verify,tasks--delete-task
productivity,tasks,assign-task,admin,critical,verified,copilot-auto-verify,tasks--assign-task
productivity,tasks,reassign-task,admin,important,verified,copilot-auto-verify,tasks--reassign-task
productivity,tasks,set-task-priority,general,important,verified,copilot-auto-verify,tasks--set-task-priority
productivity,tasks,add-task-dependency,general,important,verified,copilot-auto-verify,tasks--add-task-dependency
productivity,tasks,remove-task-dependency,general,important,verified,copilot-auto-verify,tasks--remove-task-dependency
productivity,tasks,set-task-due-date,general,important,verified,copilot-auto-verify,tasks--set-task-due-date
productivity,tasks,snooze-task,general,important,verified,copilot-auto-verify,tasks--snooze-task
productivity,tasks,start-task,general,important,verified,copilot-auto-verify,tasks--start-task
productivity,tasks,pause-task,general,important,verified,copilot-auto-verify,tasks--pause-task
productivity,tasks,resume-task,general,important,verified,copilot-auto-verify,tasks--resume-task
productivity,tasks,complete-task,general,critical,verified,copilot-auto-verify,tasks--complete-task
productivity,tasks,reopen-task,general,important,verified,copilot-auto-verify,tasks--reopen-task
productivity,tasks,bulk-update-tasks,admin,important,verified,copilot-auto-verify,tasks--bulk-update-tasks
productivity,tasks,archive-completed-tasks,admin,important,verified,copilot-auto-verify,tasks--archive-completed-tasks
productivity,tasks,restore-archived-task,admin,important,verified,copilot-auto-verify,tasks--restore-archived-task
productivity,tasks,convert-task-to-action-chip,general,important,verified,copilot-auto-verify,tasks--convert-task-to-action-chip
productivity,tasks,link-task-to-contact,general,important,verified,copilot-auto-verify,tasks--link-task-to-contact
productivity,tasks,link-task-to-document,general,important,verified,copilot-auto-verify,tasks--link-task-to-document
productivity,tasks,resolve-task-assignment-error,admin,critical,verified,copilot-auto-verify,tasks--resolve-task-assignment-error
productivity,tasks,recover-missing-task,admin,critical,verified,copilot-auto-verify,tasks--recover-missing-task
productivity,tasks,audit-task-history,admin,important,verified,copilot-auto-verify,tasks--audit-task-history
productivity,tasks,configure-task-automation-rule,admin,important,verified,copilot-auto-verify,tasks--configure-task-automation-rule
productivity,calendar,connect-calendar-provider,admin,critical,verified,copilot-auto-verify,calendar--connect-calendar-provider
productivity,calendar,disconnect-calendar-provider,admin,important,verified,copilot-auto-verify,calendar--disconnect-calendar-provider
productivity,calendar,sync-calendar-events,general,critical,verified,copilot-auto-verify,calendar--sync-calendar-events
productivity,calendar,resolve-calendar-sync-error,admin,critical,verified,copilot-auto-verify,calendar--resolve-calendar-sync-error
productivity,calendar,create-calendar-event,general,critical,verified,copilot-auto-verify,calendar--create-calendar-event
productivity,calendar,edit-calendar-event,general,important,verified,copilot-auto-verify,calendar--edit-calendar-event
productivity,calendar,cancel-calendar-event,general,important,verified,copilot-auto-verify,calendar--cancel-calendar-event
productivity,calendar,reschedule-calendar-event,general,important,verified,copilot-auto-verify,calendar--reschedule-calendar-event
productivity,calendar,set-recurring-event,general,important,verified,copilot-auto-verify,calendar--set-recurring-event
productivity,calendar,end-recurring-series,general,important,verified,copilot-auto-verify,calendar--end-recurring-series
productivity,calendar,invite-attendees,general,important,verified,copilot-auto-verify,calendar--invite-attendees
productivity,calendar,remove-attendee,general,important,verified,copilot-auto-verify,calendar--remove-attendee
productivity,calendar,attach-meeting-notes,general,important,verified,copilot-auto-verify,calendar--attach-meeting-notes
productivity,calendar,link-event-to-contact,general,important,verified,copilot-auto-verify,calendar--link-event-to-contact
productivity,calendar,link-event-to-task,general,important,verified,copilot-auto-verify,calendar--link-event-to-task
productivity,calendar,create-availability-block,general,important,verified,copilot-auto-verify,calendar--create-availability-block
productivity,calendar,publish-booking-link,admin,important,verified,copilot-auto-verify,calendar--publish-booking-link
productivity,calendar,update-booking-hours,admin,important,verified,copilot-auto-verify,calendar--update-booking-hours
productivity,calendar,handle-double-booking-conflict,general,critical,verified,copilot-auto-verify,calendar--handle-double-booking-conflict
productivity,calendar,configure-timezone-settings,admin,important,verified,copilot-auto-verify,calendar--configure-timezone-settings
productivity,calendar,send-event-reminders,general,important,verified,copilot-auto-verify,calendar--send-event-reminders
productivity,calendar,troubleshoot-missing-invites,admin,critical,verified,copilot-auto-verify,calendar--troubleshoot-missing-invites
productivity,calendar,export-calendar-events,general,important,verified,copilot-auto-verify,calendar--export-calendar-events
productivity,calendar,import-calendar-events,admin,important,verified,copilot-auto-verify,calendar--import-calendar-events
productivity,calendar,audit-calendar-changes,admin,important,verified,copilot-auto-verify,calendar--audit-calendar-changes
accounting,accounting,build-audit-readiness-checklist,accountant,critical,verified,copilot-auto-verify,accounting--build-audit-readiness-checklist
accounting,accounting,map-audit-request-to-source-documents,accountant,critical,verified,copilot-auto-verify,accounting--map-audit-request-to-source-documents
accounting,accounting,reconcile-subledger-to-general-ledger,accountant,critical,verified,copilot-auto-verify,accounting--reconcile-subledger-to-general-ledger
accounting,accounting,assemble-audit-evidence-package,accountant,critical,verified,copilot-auto-verify,accounting--assemble-audit-evidence-package
accounting,accounting,resolve-missing-audit-evidence,accountant,critical,verified,copilot-auto-verify,accounting--resolve-missing-audit-evidence
accounting,accounting,lock-audit-evidence-snapshot,admin,critical,verified,copilot-auto-verify,accounting--lock-audit-evidence-snapshot
